,,,,,,,,,,,,,,,,,,,Monthly Spending Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Seen Month,Region,Site,Business Category,Project No.,Capital Classification Code, Firm , Jul , Aug , Sep , Oct , Nov , Dec , Jan , Feb , Mar , Apr , May , Jun ,J,A,S,O,N,D,J,F,M,A,M,J,,,,,,,,,,,,,,,,,,,,,,
2019-09,Market E,Plant A,Category C,B.06838,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-09,Market E,Plant A,Category C,B.06838,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-09,Market E,Plant A,Category C,B.06838,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-09,Market E,Plant A,Category C,B.06838,01, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-09,Market E,Plant A,Category C,B.06838,01, 647 , 592 , 592 , 592 , 593 , 591 , 532 , 532 , 532 , 528 , 630 , 630 , 630 , 99 , 163 , 16 , 86 , 50 , 167 , 33 , 3 , 12 , 0 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-09,Market E,Plant A,Category C,B.06838,01,,,,,,,,,,, (127), (127), (127), (127), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
2019-09,Market E,Plant A,Category C,B.06838,01,,,,,,,,,,, 25 , 25 , 25 , 25 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,B.07197,03," 1,081 "," 1,045 "," 1,045 "," 1,070 "," 1,046 "," 1,059 "," 1,059 "," 1,067 "," 1,067 "," 1,567 "," 1,576 "," 1,629 "," 1,629 ", -   , -   , 29 , 112 , 92 , 132 , 64 , 24 , 142 , 142 , 167 , 727 ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,B.07199,04, 568 , 512 , 512 ," 1,126 "," 1,016 "," 1,016 "," 1,023 "," 1,323 "," 1,266 "," 1,661 "," 1,525 "," 1,212 "," 1,212 ", -   , -   , -   , 4 , 38 , 93 , 85 , 26 , 196 , 69 , 265 , 436 ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,B.07199,04,,,,,,, 50 , 50 , 50 , 35 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,B.07199,04,,,,,,,,,,, -   , 52 , 52 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 52 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,B.07208,01,,,,,,,, -   , -   , -   , -   , -   , -   ,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,B.07208,01,,,, 320 , 185 , 190 , 190 , 189 , 189 , 199 , 213 , 222 , 222 , -   , -   , -   , -   , 3 , 26 , 23 , 3 , 48 , 44 , 4 , 72 ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,B.07250,01,,,,,,,,,, -   , 36 , 36 , 36 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 12 , 24 ,,,,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.16660,03, 25 , 25 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,
