Last Seen Month,Region,Site,Business Category,Project No.,Capital Classification Code,Firm,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,J,A,S,O,N,D,J,F,M,A,M,J
2019-12,Market E,Plant A,Category F,B.06836,03,,,,,,,49.871,50,52.864,52.864,52.85,53.169000000000004,53.169000000000004,0,0,0,0,0,0,0,0,2.563,47.606,0,3
2019-08,Market E,Plant A,Category F,B.06837,04,408.95,408.95,407.947,408.951,408.951,372,366.43100000000004,366.43100000000004,366.43100000000004,367,367.433,362.29,364.33129999999994,0,0,0,0.363,36.916,26.893,85.785,52.646,102.546,27.604,12,19.578299999999984
,Market E,Plant A,Category B,FB.50645,01,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2019-09,Market E,Plant A,Category C,B.06838,01,210,210,147.622,147.622,246.365,247.4,246.516,246.516,204,204,302.368,357.762,358.63199999999995,0,0,0,3.209,16.89,32.35,43.376,20.737,47.518,9.552,103,82
2019-09,Market E,Plant A,Category C,B.06838,01,,,,,,,,0,75,104,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category F,FB.24909,03,,,,,,,,,,200,200,170,355,,,,,,,,,0,0,10,345
,Market E,Plant A,Category B,FB.50645,01,150,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
,Market E,Plant A,Category C,FB.51066,01,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,FB.51070,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,FB.51072,02,360,360,360,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,FB.51076,02,75,75,75,75,99.9,45,44.883900000000004,44.883900000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,FB.51760,01,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category B,FB.52023,04,750,750,750,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,FB.55972,02,,,,,,0,1980,1980,1980,1490,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,FB.56233,01,,,,,,0,135.9,135,81,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category B,GRA-FB_GS_2272_9797-rb,01,,,,,,,,,-5,-5,-5,-5,-5,,0,0,0,0,0,-5,0,0,0,0,0
,Market E,Plant A,Category C,,01,,,,,,,,,,136,0,0,0,,,,,,,,,,,0,0
,Market E,Plant A,Category C,,01,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,,01,,,,,,180,180,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category B,,02,,,,,,1998,1530,0,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,,01,,,,,,0,315,315,0,0,0,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,,02,0,0,0,0,1000,4050,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,Market E,Plant A,Category C,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant A,Category C,,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
