,,,,,,,,,,,,,,,,,,,, Monthly Spending ,,,,,,,,,,,,, -   , -   , -   ,,
Last Seen Month,Region,Site,Business Category,Project No.,Capital Classification, Firm , Jul , Aug , Sep , Oct , Nov , Dec , Jan , Feb , Mar , Apr , May , Jun ,, J , A , S , O , N , D , J , F , M , A , M , J ,,,,,,
,Market E,Plant B,Category F,FB.85846,04, 475 , 475 , 475 , 475 , 475 , 475 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
2019-07,Market E,Plant B,Category F,B.06383,03,,,,,,, 3 , 3 , 3 , 3 , 3 , 3 , 3 ,, -   , -   , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   ,,,,,,
2019-07,Market E,Plant B,Category F,B.06827,04,,,,,,,,, -   , 1 , 1 , 1 , 1 ,, -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,,,,,,
,Market E,Plant A,Category F,B.07197,03, 40 , 43 , 47 , 26 , 26 , 22 , 22 , 25 , 25 , 25 , 25 , 25 , 25 ,, -   , -   , -   , -   , 16 , 8 , -   , -   , -   , -   , -   , -   ,,,,,,
,Market E,Plant B,Category A,B.07209,01,,,,,,, (0), (0), (0), (0), (0), (0), (0),, -   , -   , -   , -   , (0), -   , -   , -   , -   , -   , -   , -   ,,,,,,
,Market E,Plant B,Category F,B.07210,02,, 83 , 64 , 49 , 59 , 60 , 0 , 0 , 0 , 61 , 64 , 54 , 54 ,, (2), 2 , (2), 2 , (0), -   , -   , 2 , 2 , -   , -   , 49 ,,,,,,
,Market E,Plant D,Category F,B.07211,01,,,,,, 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 ,, -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,
,Market E,Plant B,Category F,B.07213,03,, 12 , 12 , 12 , 11 , 12 , 12 , 12 , 8 , 14 , 22 , 22 , 22 ,, -   , 2 , 5 , -   , -   , -   , -   , 6 , 8 , -   , -   , -   ,,,,,,
,Market E,Plant B,Category C,FB.51079,01, 400 , 400 , 400 , 200 , 200 , 200 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,B.07216,04,,,,, 0 , 0 , (2), (2), (2), (2), 0 , 0 , 0 ,, 0 , -   , 0 , 0 , (2), -   , -   , -   , 2 , -   , -   , -   ,,,,,,
,Market E,Plant A,Category B,B.07250,01,, 34 , 34 , 34 , 34 , 34 , 24 , 22 , 22 , 22 , 22 , 22 , 22 ,, -   , -   , -   , -   , -   , 22 , -   , -   , -   , -   , -   , -   ,,,,,,
,Market E,Plant D,Category C,FB.51085,01, 400 , 400 , 400 , 200 , 200 , 200 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category F,B.07531,04,,,, 112 , 112 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.56212,01, 400 , 400 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,B.08033,01, 450 , 450 , 450 , 450 , 150 , 130 , 150 , 143 , 143 , 105 , 105 , 83 , 83 ,, -   , -   , -   , -   , -   , -   , -   , -   , 43 , 10 , 30 , -   ,,,,,,
,Market E,Plant A,Category F,B.07550,04, 402 , 447 , 447 , 447 , 447 , 447 , 443 , 443 , 443 , 403 , 404 , 405 , 405 ,, 55 , 117 , 71 , 17 , 43 , 3 , 15 , 2 , 5 , 59 , 8 , 10 ,,,,,,
,Market E,Plant A,Category B,B.07557,01, 45 , 45 , 84 , 50 , 50 , 50 , 50 , 50 , 50 , 46 , 48 , 41 , 41 ,, -   , -   , -   , -   , 2 , 10 , -   , -   , 18 , -   , -   , 11 ,,,,,,
,Market E,Plant A,Category C,FB.84875,01, 350 , 350 , 350 , 200 , 200 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,B.08030,01, 300 , 300 , 300 , 300 , 300 , 300 , 150 , 50 , 60 , 45 , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,B.07558,02,, 68 , 68 , 68 , 64 , 68 , 68 , 65 , 65 , 65 , 64 , 66 , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,B.07558,01,, 39 , 39 , 39 , 39 , 39 , 39 , 39 , 39 , 39 , 40 , 40 , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,B.07558,01, 270 , 228 , 228 , 228 , 228 , 228 , 228 , 228 , 228 , 228 , 213 , 211 , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,B.07558,01, 154 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.84907,01, 300 , 300 , 300 , 300 , 300 , 300 , 150 , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,B.07560,01, 144 , 115 , 117 , 102 , 103 , 103 , 158 , 91 , 91 , 84 , 105 , 111 , 111 ,, 3 , -   , 13 , -   , 0 , 19 , 2 , 6 , 56 , -   , 11 , -   ,,,,,,
,Market E,Plant B,Category F,B.07563,03,, 260 , 269 , 240 , 355 , 355 , 305 , 249 , 249 , 297 , 309 , 285 , 285 ,, 13 , 4 , 96 , 6 , 8 , (0), -   , 62 , 33 , 11 , 22 , 30 ,,,,,,
,Market E,Plant A,Category B,A.04301,04, 500 , 500 , 500 , 500 , 500 , 500 , 401 , 297 , 153 , 277 , 215 , 237 , 237 ,, -   , -   , -   , -   , 9 , 0 , -   , 1 , 66 , 147 , -   , 13 ,,,,,,
,Market E,Plant B,Category F,B.07565,04,,,,,,, 0 , 0 , 0 , 0 , 0 , 0 , 0 ,, -   , -   , -   , 0 , 0 , -   , -   , -   ,,,, -   ,,,,,,
,Market E,Plant B,Category A,A.04048,04, 635 , 595 , 547 , 594 , 597 , 595 , 595 , 395 , 395 , 252 , 335 , 339 , 339 ,, 18 , 53 , (3), 15 , 31 , 133 , 23 , -   , 65 , 5 , -   , -   ,,,,,,
,Market E,Plant D,Category F,FB.33158,04, 250 , 250 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category F,FB.33158,04, 250 , 250 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category F,B.08004,03,,,,, 117 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category B,FB.84908,01, 250 , 250 , 250 , 250 , 250 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,B.08031,01, 563 , 356 , 356 , -   , 171 , 171 , 144 , 144 , 170 , 105 , 108 , 119 , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,B.08023,04,, 349 , 349 , 349 , 712 , 714 , 689 , 689 , 672 , 434 , 333 , 322 , 322 ,, -   , -   , -   , -   , 33 , 28 , 63 , 12 , 32 , 58 , 8 , 89 ,,,,,,
,Market E,Plant A,Category C,B.08031,01, 675 , 360 , 360 , 360 , 360 , 360 , 378 , 378 , 378 , 75 , 108 , 126 , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.84876,01, 150 , 225 , 225 , 225 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,B.08031,01, 225 , 225 , 56 , 56 , 25 , 25 , -   , -   , 24 , 67 , 22 , 22 , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,B.08031,01,,, 88 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,B.08031,03,,, 24 , 24 , 24 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.16665,03, 203 , 203 , 203 , 203 , 203 , 203 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,B.08031,01, 500 , 360 , 360 , 360 , 360 , 360 , 360 , 360 , 360 , 315 , 341 , 356 , 842 ,, -   , -   , 4 , 16 , 22 , 60 , 158 , 62 , 61 , 100 , 268 , 93 ,,,,,,
,Market E,Plant D,Category C,A.04348,01, 200 , 200 , 100 , 100 , 405 , 405 , 405 , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant D,Category F,B.08004,04, 200 , 200 , 200 , 113 , 112 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.57250,01, 400 , 200 , 200 , 200 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,B.08032,01,,,, 176 , 176 , 176 , 176 , 68 , 68 , 90 , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,
,Market E,Plant A,Category F,FB.84869,03, 200 , 200 , 200 , 200 , 290 , 290 , 290 , 200 , 200 , -   , -   , -   , -   ,,,,,,,,,,,,,,,,0,0,0,16927.2
,Market E,Plant D,Category C,FB.51086,01, 195 , 195 , 195 , 195 , 195 , 195 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.87950,04,, 188 , 188 , 188 , 175 , 263 , 263 , 263 , 75 , 53 , 53 , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,B.08038,04,,,,,,, 475 , 200 , 200 , 220 , 82 , 43 , 43 ,, -   , -   , -   , -   , 2 , 15 , 10 , 10 , 5 , 1 , -   , -   ,,,,,,
,Market E,Plant B,Category C,FB.25153,03, 165 , 165 , 165 , 165 , 165 , 165 , 165 , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
