,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Seen Month,Region,Site,Business Category,Project No.,Capital Classification, Firm ,, Jul ,, Aug ,, Sep ,, Oct ,, Nov ,, Dec ,, Jan ,, Feb ,, Mar ,, Apr ,, May ,, Jun ,, J , A , S , O , N , D , J , F , M , A , M , J 
2023-09,Market F,Plant E,Category D,B.08513,01,,, -   ,, 405 ,, 415 ,, 415 ,, 401 ,, 300 ,, 333 ,, 344 ,, 245 ,, 236 ,, 236 ,,236,0,,,,,,,,,,,,
2023-11,Market F,Plant E,Category C,A.04507,01, 765 ,, 765 ,, 765 ,," 1,086 ",," 1,086 ",," 1,051 ",, 950 ,, 953 ,, 981 ,, 903 ,, 879 ,, 883 ,,883,987.088,,,,115.431,6.651,229.205,220.262,14.596,230.873,23.496,67.156,79.418
2024-03,Market F,Plant E,Category B,A.04586,01, 350 ,," 1,000 ",," 1,000 ",," 1,000 ",," 1,200 ",, 700 ,, 600 ,, 600 ,, 600 ,, 495 ,, 477 ,, 479 ,,479,405,,,,,,,,34.755,152.548,0,5.613,212.084
,Market F,Plant E,Category B,FB.25004,04, 500 ,, 800 ,, 800 ,, 800 ,, 400 ,, 400 ,, 300 ,, 700 ,, 300 ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category B,FB.15895,01, 700 ,," 1,000 ",, 998 ,," 1,000 ",, 200 ,, 200 ,, 100 ,, 100 ,, 100 ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2024-01,Market F,Plant E,Category D,A.04549,01,,,,,,, 500 ,, 500 ,, 500 ,, 409 ,, 429 ,, 445 ,, 635 ,, 635 ,, 629 ,,629,472.198,,,,,,6.679,5.3,32.558,142.89,169.63,-22.705,137.846
,Market F,Plant E,Category D,FB.16613,01, 325 ,, 325 ,, 325 ,, 325 ,, 325 ,, 325 ,, 250 ,, 250 ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-07,Market F,Plant E,Category F,A.04196,04," 1,008 ",," 1,008 ",," 1,008 ",, 697 ,, 697 ,, 630 ,, 581 ,, 587 ,, 595 ,, 591 ,, 582 ,, 582 ,,582,594.756,0.933,26.698,33.09,29.62,133.776,172.085,34.582,8.63,134.222,0,21.12,
2024-01,Market F,Plant E,Category F,A.04515,04,,,,,,,,,,,,,,, 739 ,, 756 ,, 758 ,, 728 ,, 723 ,,723,755.7,,,,,152.43,,67.864,,,,,535.406
,Market F,Plant E,Category F,B.08502/B.08508,04," 1,770 ",," 1,770 ",," 1,770 ",," 1,771 ",," 1,771 ",," 1,645 ",," 1,610 ",, 712 ,, 637 ,, 530 ,, 511 ,, 507 ,,507,0,,,,,,,,,,,,
2024-01,Market F,Plant E,Category F,B.08013,04,,,,,,,,,,,,,,, 170 ,, 176 ,, 144 ,, 140 ,, 143 ,,143,0,,,,,,,,,,,,
,Market F,Plant E,Category F,B.08503/B.08504,03," 3,900 ",," 4,100 ",," 4,100 ",," 4,100 ",," 4,100 ",," 4,046 ",," 4,046 ",," 3,619 ",," 3,708 ",," 4,024 ",," 3,855 ",," 3,749 ",,3749,0,,,,,,,,,,,,
2023-07,Market F,Plant E,Category B,A.04041,01, 599 ,, 599 ,, 599 ,, 802 ,, 802 ,, 782 ,, 782 ,, 790 ,, 793 ,, 789 ,, 799 ,, 799 ,,799,793.433,6.702,111.222,64.717,14.712,19.503,475.996,24.531,4.372,58.084,13.594,,
2023-07,Market F,Plant E,Category D,A.02453,02, 360 ,, 360 ,, 293 ,, 324 ,, 324 ,, 304 ,, 304 ,, 312 ,, 314 ,, 296 ,, 290 ,, 290 ,,290,0,,,,,,,,,,,,
2023-07,Market F,Plant E,Category D,A.04346,01, 560 ,, 891 ,, 891 ,, 703 ,, 703 ,, 683 ,, 683 ,, 744 ,, 759 ,, 724 ,, 716 ,, 767 ,,767,747.144,2.439,0.691,113.239,31.614,107.126,101.045,178.613,47.599,100.627,67.673,0,-3.522
2023-07,Market F,Plant E,Category D,A.04332 ,01, 630 ,, 630 ,, 590 ,, 612 ,, 612 ,, 597 ,, 597 ,, 602 ,, 612 ,, 552 ,, 573 ,, 572 ,,572,597.133,47.283,64.459,37.101,39.405,89.096,67.437,15.552,13.571,135.518,87.711,,
